ID	Resource name
140	minecraft:mutated_ice_flats
10	minecraft:frozen_ocean
165	minecraft:mutated_mesa
56	advancedrocketry:volcanicbarren
33	minecraft:redwood_taiga_hills
5	minecraft:taiga
19	minecraft:taiga_hills
52	advancedrocketry:marsh
23	minecraft:jungle_edge
35	minecraft:savanna
32	minecraft:redwood_taiga
53	advancedrocketry:oceanspires
127	minecraft:void
54	advancedrocketry:moondark
34	minecraft:extreme_hills_with_trees
48	advancedrocketry:space
17	minecraft:desert_hills
16	minecraft:beaches
167	minecraft:mutated_mesa_clear_rock
39	minecraft:mesa_clear_rock
22	minecraft:jungle_hills
15	minecraft:mushroom_island_shore
36	minecraft:savanna_rock
11	minecraft:frozen_river
55	advancedrocketry:volcanic
4	minecraft:forest
131	minecraft:mutated_extreme_hills
24	minecraft:deep_ocean
44	nuclearcraft:nuclear_wasteland
3	minecraft:extreme_hills
20	minecraft:smaller_extreme_hills
42	thaumcraft:eerie
164	minecraft:mutated_savanna_rock
41	thaumcraft:magical_forest
2	minecraft:desert
8	minecraft:hell
25	minecraft:stone_beach
7	minecraft:river
160	minecraft:mutated_redwood_taiga
26	minecraft:cold_beach
46	advancedrocketry:alien forest
29	minecraft:roofed_forest
38	minecraft:mesa_rock
13	minecraft:ice_mountains
132	minecraft:mutated_forest
162	minecraft:mutated_extreme_hills_with_trees
45	advancedrocketry:moon
157	minecraft:mutated_roofed_forest
9	minecraft:sky
149	minecraft:mutated_jungle
14	minecraft:mushroom_island
134	minecraft:mutated_swampland
50	advancedrocketry:crystalchasms
156	minecraft:mutated_birch_forest_hills
1	minecraft:plains
163	minecraft:mutated_savanna
51	advancedrocketry:deepswamp
161	minecraft:mutated_redwood_taiga_hills
47	advancedrocketry:hotdryrock
28	minecraft:birch_forest_hills
130	minecraft:mutated_desert
18	minecraft:forest_hills
37	minecraft:mesa
166	minecraft:mutated_mesa_rock
12	minecraft:ice_flats
31	minecraft:taiga_cold_hills
158	minecraft:mutated_taiga_cold
21	minecraft:jungle
151	minecraft:mutated_jungle_edge
43	thaumcraft:eldritch
27	minecraft:birch_forest
0	minecraft:ocean
6	minecraft:swampland
129	minecraft:mutated_plains
49	advancedrocketry:stormland
30	minecraft:taiga_cold
40	appliedenergistics2:storage_biome
133	minecraft:mutated_taiga
155	minecraft:mutated_birch_forest
